'C_q:[as=smp,vc=smp]:አጨ፟ቀ::TqTq.E_
'Cd:[as=smp,vc=cs]:አሳጨ፟ደ::hdd.A_csps
'Cd:[as=smp,vc=smp]:አጨ፟ደ::hdd.A_
'N_k:[as=smp,vc=ps]:ታኘ፟ከ::hCy.A_ps
'T':[as=smp,vc=cs]:አሳጣ፟::qbT.A_csps
'T':[as=smp,vc=smp]:አጣ፟::qbT.A_
'Tb:[as=smp,vc=cs]:አሳጠ፟በ::hTb.A_csps
'Tb:[as=smp,vc=smp]:አጠ፟በ::hTb.A_
'Tf:[as=smp,vc=ps]:ታጠ፟ፈ::qlbs.E_ps
'Tf:[as=smp,vc=smp]:አጠ፟ፈ::qlbs.E_
'Tq:[as=smp,vc=ps]:ታጠ፟ቀ::gld.A_
'Tr:[as=smp,vc=cs]:አሳጠ፟ረ::hTr.A_csps
'Z*:[as=smp,vc=smp]:አዠ፟::wzwz.F_cs
'bT:[as=smp,vc=smp]:አበ፟ጠ::nfh.A_3
'b_b:[as=smp,vc=smp]:አበ፟በ::hbb.B_
'bl:[as=it,vc=ps]:ተባበ፟ለ::hbl.A_psit
'd_l:[as=smp,vc=smp]:አደ፟ለ::shd.A_
'd_m:[as=smp,vc=cs]:አሳደ፟መ::nsh.A_cspsit
'd_n:[as=smp,vc=smp]:አደ፟ነ::hdn.B_
'df:[as=smp,vc=smp]:አደ፟ፈ::hdf.A_
'dg:[as=smp,vc=cs]:አሳደ፟ገ::lhq.A_cs
'dg:[as=smp,vc=smp]:አደ፟ገ::lhq.A_
'dr:[as=smp,vc=smp]:አደ፟ረ::hdr.A_
'fr:[as=smp,vc=cs]:አሳፈ፟ረ::hfr.A_csps
'fr:[as=smp,vc=smp]:አፈ፟ረ::hfr.A_
'fs:[as=smp,vc=smp]:አፈ፟ሰ::hfs.A_
'g_s:[as=smp,vc=ps]:ታገ፟ሰ::kth.A_cs
'j_b:[as=smp,vc=ps]:ታጀ፟በ::xNy.B_ps
'j_b:[as=smp,vc=smp]:አጀ፟በ::xNy.B_cs
'k_m:[as=smp,vc=cs]:አሳከ፟መ::hkm.B_csps
'k_m:[as=smp,vc=smp]:አከ፟መ::hkm.B_
'lb:[as=smp,vc=smp]:አለ፟በ::hlb.A_
'lf:[as=it,vc=tr]:አስተላለ፟ፈ::hlf.A_cspsit
'lf:[as=smp,vc=cs]:አሳለ፟ፈ::hlf.A_csps
'lq:[as=smp,vc=smp]:አለ፟ቀ::hlq.A_
'm_s:[as=smp,vc=smp]:አመ፟ሰ::nThTh.E_cs
'mm:[as=smp,vc=ps]:ታመ፟መ::mTT.A_cs3
'mm:[as=smp,vc=smp,ob=[+xpl]]:አመ፟መው::mTT.A_cs3
'nq:[as=it,vc=ps]:ተናነ፟ቀ::hnq.A_csit
'nq:[as=smp,vc=ps]:ታነ፟ቀ::hnq.A_ps
'nq:[as=smp,vc=smp]:አነ፟ቀ::hnq.A_
'nqf:[as=smp,vc=smp]:አነቀ፟ፈ::kntf.F_csps
'ns:[as=smp,vc=cs]:አሳነ፟ሰ::hns.A_csps
'ns:[as=smp,vc=smp]:አነ፟ሰ::hns.A_
'q_d:[as=smp,vc=smp]:አቀ፟ደ::bcy.B_cs
'qf:[as=smp,vc=cs]:አሳቀ፟ፈ::hrd.B_
'r':[as=smp,vc=cs]:አሳራ፟::hrh.A_csps
'r':[as=smp,vc=smp]:አራ፟::hrh.A_
'r_m:[as=smp,vc=smp]:አረ፟መ::Trg.A_
'r_q:[as=smp,vc=ps]:ታረ፟ቀ::smh.A_psit
'r_q:[as=smp,vc=tr]:አስታረ፟ቀ::smh.A_cspsit
'rd:[as=smp,vc=ps]:ታረ፟ደ::brk.C_ps
'rd:[as=smp,vc=smp]:አረ፟ደ::brk.C_
'rf:[as=smp,vc=cs]:አሳረ፟ፈ::hrf.A_csps
'rf:[as=smp,vc=smp]:አረ፟ፈ::hrf.A_
'rg:[as=smp,vc=cs]:አሳረ፟ገ::srg.C_cs
's_b:[as=smp,vc=cs]:አሳሰ፟በ::hsb.B_csps
's_b:[as=smp,vc=smp]:አሰ፟በ::hsb.B_
'w_k:[as=smp,vc=tr,ob=[+xpl]]:አስታወ፟ከው::tfh.A_3
'w_s:[as=smp,vc=tr]:አስታወ፟ሰ::zgd.A_
'wq:[as=smp,vc=cs]:አሳወ፟ቀ::xyl.A_csps
'wq:[as=smp,vc=ps,ob=[+xpl]]:ታወ፟ቀው::xyl.A_psit
'wq:[as=smp,vc=ps]:ታወ፟ቀ::xyl.A_ps
'wq:[as=smp,vc=smp]:አወ፟ቀ::xyl.A_
